"CodeC","NoImmat","DateDebLoc","DateFinLoc","KmDeb","KmFin"
2174,"IMM0001","2023-01-14","2023-01-22",3472,3681
2106,"IMM0001","2023-01-20","2023-01-26",3681,3912
2964,"IMM0001","2023-01-27","2023-02-04",3912,4184
3712,"IMM0001","2023-02-24","2023-03-05",4184,4710
2053,"IMM0001","2023-03-05","2023-03-13",4710,5266
4485,"IMM0001","2023-03-23","2023-04-01",5266,5583
116,"IMM0001","2023-05-21","2023-05-29",5583,5636
2234,"IMM0001","2023-05-29","2023-06-05",5636,6011
3921,"IMM0001","2023-06-04","2023-06-12",6011,6530
434,"IMM0001","2023-06-12","2023-06-19",6530,6668
1166,"IMM0001","2023-06-20","2023-06-30",6668,7244
4098,"IMM0001","2023-06-21","2023-07-01",7244,7758
1255,"IMM0001","2023-07-18","2023-07-27",7758,8121
1271,"IMM0001","2023-09-22","2023-09-29",8121,8705
503,"IMM0001","2023-10-05","2023-10-15",8705,8894
4200,"IMM0001","2023-10-26","2023-10-29",8894,9354
584,"IMM0001","2023-11-28","2023-12-05",9354,9667
980,"IMM0001","2024-01-10","2024-01-18",9667,9744
11,"IMM0001","2024-02-14","2024-02-20",9744,9994
4037,"IMM0001","2024-02-23","2024-02-25",9994,10704
4227,"IMM0001","2024-03-01","2024-03-08",10704,10788
2742,"IMM0001","2024-03-02","2024-03-09",10788,11584
3259,"IMM0001","2024-03-05","2024-03-14",11584,12161
87,"IMM0001","2024-03-07","2024-03-11",12161,12287
3289,"IMM0001","2024-03-12","2024-03-19",12287,12649
3867,"IMM0001","2024-03-31","2024-04-10",12649,13075
526,"IMM0001","2024-05-17","2024-05-20",13075,13602
4291,"IMM0001","2024-05-17","2024-05-21",13602,13778
1428,"IMM0001","2024-05-30","2024-06-04",13778,13964
2958,"IMM0001","2024-06-14","2024-06-18",13964,14396
2213,"IMM0001","2024-07-02","2024-07-04",14396,14854
148,"IMM0001","2024-07-08","2024-07-10",14854,15494
702,"IMM0001","2024-07-14","2024-07-24",15494,16113
2144,"IMM0001","2024-07-20","2024-07-29",16113,16183
4279,"IMM0001","2024-08-04","2024-08-12",16183,16235
971,"IMM0001","2024-08-13","2024-08-21",16235,16286
4215,"IMM0001","2024-08-16","2024-08-23",16286,16833
842,"IMM0001","2024-10-24","2024-10-30",16833,17057
323,"IMM0001","2024-11-07","2024-11-15",17057,17585
848,"IMM0001","2024-12-10","2024-12-11",17585,18117
2337,"IMM0001","2024-12-10","2024-12-11",18117,18458
1853,"IMM0001","2024-12-11","2024-12-15",18458,18942
4489,"IMM0001","2024-12-21","2024-12-31",18942,19373
1411,"IMM0002","2023-01-01","2023-01-11",2701,3232
2986,"IMM0002","2023-01-13","2023-01-23",3232,3899
3878,"IMM0002","2023-01-13","2023-01-18",3899,4612
3775,"IMM0002","2023-01-29","2023-02-04",4612,5317
1885,"IMM0002","2023-02-03","2023-02-13",5317,5799
2633,"IMM0002","2023-02-05","2023-02-15",5799,6311
2534,"IMM0002","2023-02-19","2023-02-24",6311,6532
2839,"IMM0002","2023-02-22","2023-02-25",6532,6974
2113,"IMM0002","2023-02-22","2023-02-25",6974,7081
2305,"IMM0002","2023-02-24","2023-02-26",7081,7545
2329,"IMM0002","2023-03-10","2023-03-12",7545,7952
1731,"IMM0002","2023-03-25","2023-04-02",7952,8300
323,"IMM0002","2023-03-27","2023-04-02",8300,8445
1538,"IMM0002","2023-04-04","2023-04-08",8445,8964
1883,"IMM0002","2023-04-19","2023-04-27",8964,9447
3240,"IMM0002","2023-06-02","2023-06-12",9447,10200
3665,"IMM0002","2023-06-05","2023-06-12",10200,10796
944,"IMM0002","2023-06-17","2023-06-24",10796,10850
4344,"IMM0002","2023-06-29","2023-07-05",10850,11251
4067,"IMM0002","2023-06-30","2023-07-02",11251,11769
2468,"IMM0002","2023-08-24","2023-09-03",11769,12492
381,"IMM0002","2023-10-23","2023-10-29",12492,13075
2444,"IMM0002","2023-10-28","2023-11-07",13075,13865
3203,"IMM0002","2023-12-02","2023-12-11",13865,14436
646,"IMM0002","2023-12-23","2023-12-28",14436,14765
286,"IMM0002","2024-01-06","2024-01-15",14765,14874
1733,"IMM0002","2024-01-17","2024-01-23",14874,15439
3284,"IMM0002","2024-01-24","2024-01-27",15439,15779
370,"IMM0002","2024-02-27","2024-03-04",15779,16283
2093,"IMM0002","2024-03-29","2024-04-03",16283,16671
220,"IMM0002","2024-04-08","2024-04-18",16671,17353
3578,"IMM0002","2024-04-25","2024-04-29",17353,17590
2118,"IMM0002","2024-04-29","2024-05-05",17590,17889
2600,"IMM0002","2024-05-23","2024-05-26",17889,18390
896,"IMM0002","2024-07-22","2024-07-24",18390,18559
742,"IMM0002","2024-08-01","2024-08-02",18559,19326
4245,"IMM0002","2024-08-07","2024-08-13",19326,20085
581,"IMM0002","2024-09-03","2024-09-12",20085,20391
3362,"IMM0002","2024-09-24","2024-10-01",20391,20964
2634,"IMM0002","2024-10-03","2024-10-13",20964,21241
1360,"IMM0002","2024-10-25","2024-10-27",21241,21539
2925,"IMM0002","2024-11-12","2024-11-22",21539,22010
965,"IMM0002","2024-11-16","2024-11-25",22010,22741
1718,"IMM0002","2024-11-21","2024-11-22",22741,23465
